Category: All categories

Week,bitcoin: (Worldwide)
2021-01-03,85
2021-01-10,83
2021-01-17,53
2021-01-24,50
2021-01-31,45
2021-02-07,76
2021-02-14,74
2021-02-21,82
2021-02-28,54
2021-03-07,53
2021-03-14,51
2021-03-21,47
2021-03-28,45
2021-04-04,41
2021-04-11,53
2021-04-18,68
2021-04-25,51
2021-05-02,44
2021-05-09,59
2021-05-16,100
2021-05-23,72
2021-05-30,52
2021-06-06,53
2021-06-13,40
2021-06-20,49
2021-06-27,37
2021-07-04,30
2021-07-11,30
2021-07-18,34
2021-07-25,39
2021-08-01,31
2021-08-08,37
2021-08-15,32
2021-08-22,33
2021-08-29,29
2021-09-05,39
2021-09-12,26
2021-09-19,32
2021-09-26,28
2021-10-03,32
2021-10-10,37
2021-10-17,47
2021-10-24,37
2021-10-31,30
2021-11-07,36
2021-11-14,40
2021-11-21,36
2021-11-28,38
2021-12-05,41
2021-12-12,35
2021-12-19,32
2021-12-26,31
